;;;;;;;;males;;;;females;;;males;females;offspring;;;;
220;Nicky;Nicky;MA;7;3;5;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
221;Nicky;Nicky;UM;4;5;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
222;Nicky;Nicky;MU;4;4;4;CO;0;10;0;13;0;0;23;0;0;0;0;0;fresh;
223;Nicky;Nicky;AK;2;2;1;GD;7;1;6;1;0;0;23;0;0;0;0;0;fresh;
224;Nicky;Nicky;RE;1;4;2;CO;0;23;0;35;0;0;54;0;0;0;4;0;fresh;
225;Nicky;Nicky;MU;4;1;3;CO;0;8;0;6;0;0;13;0;0;0;0;3;fresh;
226;Nicky;Nicky;MA;7;3;3;CO;0;25;0;30;0;0;40;0;0;0;0;0;fresh;
227;Nicky;Nicky;AK;4;1;1;CO;0;29;0;33;0;0;65;0;0;0;4;0;brown;black larvae (1ish)
228;Nicky;Nicky;UM;4;3;5;CO;0;36;0;25;0;0;51;0;0;0;0;0;fresh;
229;Nicky;Nicky;MA;5;2;4;CO;0;14;0;20;0;0;28;0;0;0;0;0;fresh;black larvae (5ish)
230;Nicky;Nicky;MU;5;2;2;GD;0;10;0;14;0;0;26;0;0;0;5;26;brown;black larvae (20ish)
231;Nicky;Nicky;AK;3;2;1;CO;0;6;0;3;0;0;22;0;0;0;1;0;brown;black larvae (10ish)
232;Nicky;Nicky;RE;6;5;3;GD;9;7;7;22;0;0;52;0;0;0;0;1;brown;black larvae (5ish)
233;Nicky;Nicky;KA;3;3;2;GD;23;1;14;1;0;0;46;0;0;0;3;0;fresh;
234;Nicky;Nicky;RE;2;1;3;CO;0;23;0;20;0;0;50;0;0;0;1;0;brown;black larvae (10ish)
235;Nicky;Nicky;KA;3;3;2;CO;0;19;0;19;0;0;41;0;0;0;0;0;fresh;
236;Nicky;Nicky;MU;5;4;4;GD;22;1;14;4;0;0;44;0;0;0;6;0;brown;black larvae (1ish)
237;Nicky;Nicky;MA;7;3;1;CO;0;16;0;21;0;0;31;0;0;0;1;0;fresh;
238;Nicky;Nicky;KA;7;2;2;GD;27;2;18;2;0;0;52;0;0;0;1;0;fresh;
239;Nicky;Nicky;MA;1;3;2;CO;0;8;0;21;0;0;50;0;0;0;0;9;brown;
240;Nicky;Nicky;MA;4;1;1;CO;0;40;0;27;0;0;57;0;0;0;0;4;brown;
241;Nicky;Nicky;MA;1;3;3;CO;0;5;0;13;0;0;34;0;0;0;0;25;brown;
242;Nicky;Nicky;KA;4;1;1;GD;10;1;14;1;0;0;29;0;0;0;6;0;fresh;
243;Nicky;Nicky;MU;5;2;1;GD;10;1;18;1;0;0;26;0;0;0;0;0;fresh;black larvae (10ish)
244;Nicky;Nicky;MU;1;4;1;CO;0;16;0;23;0;0;41;0;0;0;0;0;fresh;
245;Nicky;Nicky;MU;5;6;2;GD;11;3;23;6;0;0;48;0;0;0;1;1;fresh;black larvae (5ish)
246;Nicky;Nicky;AK;4;1;5;GD;11;1;19;3;0;0;34;0;0;0;1;0;fresh;
247;Nicky;Nicky;MA;4;4;2;GD;1;1;6;3;0;0;9;0;0;0;0;0;fresh;
248;Nicky;Nicky;AK;2;1;2;GD;18;1;18;1;0;0;28;0;0;0;1;0;fresh;
249;Nicky;Nicky;AK;2;6;1;GD;17;1;17;2;0;0;40;0;0;0;0;1;fresh;
250;Nicky;Nicky;MU;5;4;5;GD;22;2;27;3;0;0;53;0;0;0;7;1;fresh;black larvae (1ish)
251;Nicky;Nicky;MU;4;6;3;GD;10;1;19;1;0;0;33;0;0;0;1;1;fresh;
252;Nicky;Nicky;RE;1;1;5;GD;19;1;15;5;0;0;32;0;0;0;1;2;fresh;
253;Nicky;Nicky;RE;3;2;3;GD;11;0;6;0;0;0;19;0;0;0;1;0;fresh;
254;Nicky;Nicky;AK;1;6;3;GD;10;2;12;3;0;0;19;0;0;0;0;0;fresh;
255;Nicky;Nicky;KA;7;6;1;GD;19;6;11;2;0;0;31;0;0;0;1;0;fresh;
256;Nicky;Nicky;KA;2;1;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
257;Nicky;Nicky;MU;6;6;4;GD;12;3;16;2;0;0;45;0;0;0;5;0;fresh;
258;Nicky;Nicky;AK;4;6;1;GD;25;0;29;1;0;0;49;0;0;0;3;1;brown;black larvae (1ish)
259;Nicky;Nicky;UM;5;6;2;GD;11;1;8;1;0;0;29;0;0;0;1;1;fresh;
260;Nicky;Nicky;UM;1;1;3;GD;16;3;25;3;0;0;38;0;0;0;1;0;fresh;black larvae (1ish)
261;Nicky;Nicky;MU;3;4;5;GD;15;0;24;1;0;0;38;0;0;0;0;0;fresh;
262;Nicky;Nicky;RE;6;6;1;GD;0;0;21;1;0;0;24;0;0;0;6;1;fresh;
263;Nicky;Nicky;AK;4;5;4;GD;14;3;13;0;0;0;23;0;0;0;1;0;fresh;
264;Nicky;Nicky;RE;1;6;1;GD;0;29;0;25;0;0;59;0;0;0;6;4;fresh;
265;Nicky;Nicky;KA;2;6;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
266;Nicky;Nicky;AK;4;5;2;GD;7;2;7;1;0;0;21;0;0;0;2;0;fresh;
267;Nicky;Nicky;AK;5;6;4;GD;0;5;0;4;0;0;9;0;0;0;0;0;fresh;
268;Nicky;Nicky;UM;6;5;2;GD;7;1;23;3;0;0;46;0;0;0;1;0;fresh;
269;Nicky;Nicky;UM;4;2;5;GD;22;0;15;3;0;0;53;0;0;0;3;0;fresh;
270;Nicky;Nicky;MU;6;5;5;GD;10;0;13;3;0;0;39;0;0;0;3;1;brown;black larvae (10ish)
271;Nicky;Nicky;KA;4;6;4;GD;12;0;14;2;0;0;24;0;0;0;0;1;brown;black larvae (20ish)
272;Nicky;Nicky;MA;7;4;4;GD;4;0;3;0;0;0;7;0;0;0;0;0;fresh;
273;Nicky;Nicky;AK;4;1;4;GD;5;0;9;0;0;0;18;0;0;0;1;0;fresh;
274;Nicky;Nicky;UM;6;4;4;GD;19;4;26;5;0;0;45;0;0;0;1;0;fresh;
275;Nicky;Nicky;AK;4;4;5;GD;10;3;9;1;0;0;31;0;0;0;0;0;fresh;
276;Nicky;Nicky;KA;2;3;3;GD;17;2;26;6;0;0;51;0;0;0;4;0;fresh;
277;Nicky;Nicky;RE;6;4;1;GD;11;1;9;2;0;0;53;0;0;0;7;0;brown;black larvae (1ish)
278;Nicky;Nicky;MA;6;3;3;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
279;Nicky;Nicky;MU;1;3;1;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
280;Nicky;Nicky;AK;4;3;4;GD;5;2;4;0;0;0;10;0;0;0;0;1;fresh;
281;Nicky;Nicky;AK;5;6;5;GD;8;2;7;1;0;0;37;0;0;0;0;0;fresh;
282;Nicky;Nicky;MU;5;2;4;GD;3;0;4;1;0;0;2;0;0;0;0;0;fresh;
283;Nicky;Nicky;UM;1;5;4;GD;16;0;12;0;0;0;20;0;0;0;0;0;fresh;
284;Nicky;Nicky;MU;6;5;3;GD;15;4;8;1;0;0;31;0;0;0;0;0;fresh;
285;Nicky;Nicky;MU;4;1;4;GD;7;1;3;2;0;0;20;0;0;0;1;0;fresh;
286;Nicky;Nicky;MU;1;6;5;GD;19;0;20;0;0;0;42;0;0;0;5;0;fresh;
287;Nicky;Nicky;AK;2;2;5;GD;13;8;16;11;0;0;56;0;0;0;0;0;fresh;
288;;Nicky;MU;1;6;3;GD;;;;;;;;;;;2;1;fresh;
289;;Nicky;KA;3;3;3;CO;;;;;;;;;;;0;0;fresh;
290;;Nicky;UM;4;5;2;CO;;;;;;;;;;;4;0;brown;
291;Nicky;Nicky;KA;3;3;5;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
292;;Nicky;KA;4;4;3;CO;;;;;;;;;;;1;0;fresh;
293;;Nicky;UM;5;4;4;CO;;;;;;;;;;;0;21;brown;
294;Nicky;Nicky;KA;2;4;4;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
295;;Nicky;MA;4;6;3;CO;;;;;;;;;;;0;13;fresh;
296;;Nicky;MU;5;5;2;CO;;;;;;;;;;;2;1;fresh;
297;;Nicky;AK;1;1;5;CO;;;;;;;;;;;0;0;fresh;
298;;Nicky;UM;6;5;1;CO;;;;;;;;;;;0;0;fresh;
299;;Nicky;UM;6;2;4;CO;;;;;;;;;;;0;0;fresh;
300;;Nicky;RE;1;4;1;CO;;;;;;;;;;;0;1;fresh;
301;;Nicky;KA;3;4;4;CO;;;;;;;;;;;1;0;fresh;
302;;Nicky;KA;1;4;3;CO;;;;;;;;;;;4;0;fresh;
303;;Nicky;UM;4;3;2;CO;;;;;;;;;;;0;6;brown;
304;;Nicky;KA;4;3;1;CO;;;;;;;;;;;1;0;fresh;
305;;Nicky;KA;4;6;3;CO;;;;;;;;;;;0;9;brown;
306;;Nicky;AK;1;5;5;CO;;;;;;;;;;;3;0;fresh;
307;;Nicky;AK;2;4;5;CO;;;;;;;;;;;0;8;fresh;
308;;Nicky;UM;6;2;2;CO;;;;;;;;;;;0;0;fresh;
309;;Nicky;MU;1;4;3;CO;;;;;;;;;;;0;1;fresh;
310;;Nicky;MU;4;2;2;CO;;;;;;;;;;;0;1;fresh;
311;;Nicky;AK;4;4;1;CO;;;;;;;;;;;0;0;brown;
312;;Nicky;KA;7;2;1;CO;;;;;;;;;;;3;0;fresh;
313;;Nicky;RE;1;5;3;CO;;;;;;;;;;;1;0;fresh;
314;Nicky;Nicky;AK;4;6;1;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
315;Nicky;Nicky;RE;6;4;3;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
316;Nicky;Nicky;KA;3;4;2;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
317;;Nicky;MA;4;6;5;CO;;;;;;;;;;;0;0;fresh;
318;;Nicky;MA;7;4;1;CO;;;;;;;;;;;1;0;fresh;
319;;Nicky;KA;2;4;1;CO;;;;;;;;;;;0;0;fresh;
320;;Nicky;UM;4;3;1;CO;;;;;;;;;;;0;1;fresh;
321;;Nicky;MU;6;6;1;CO;;;;;;;;;;;0;0;fresh;
322;;Nicky;RE;4;5;4;CO;;;;;;;;;;;2;0;fresh;
323;;Nicky;AK;1;5;4;CO;;;;;;;;;;;0;0;fresh;
324;;Nicky;RE;4;5;1;CO;;;;;;;;;;;0;0;fresh;
325;;Nicky;UM;1;5;3;CO;;;;;;;;;;;4;0;fresh;
326;;Nicky;MU;5;5;1;CO;;;;;;;;;;;2;0;fresh;
327;;Nicky;UM;4;5;5;CO;;;;;;;;;;;6;0;fresh;
328;;Nicky;KA;1;4;1;CO;;;;;;;;;;;0;0;fresh;
329;;Nicky;RE;4;5;5;CO;;;;;;;;;;;1;0;fresh;
330;;Nicky;MA;6;5;1;CO;;;;;;;;;;;0;0;fresh;
331;;Nicky;KA;4;6;1;CO;;;;;;;;;;;1;15;fresh;
332;;Nicky;KA;1;1;5;CO;;;;;;;;;;;0;0;fresh;
333;;Nicky;AK;3;4;4;CO;;;;;;;;;;;2;0;fresh;
334;;Nicky;MA;1;3;5;CO;;;;;;;;;;;0;0;fresh;
335;;Nicky;MA;5;2;2;CO;;;;;;;;;;;0;1;fresh;
336;;Nicky;KA;3;2;3;CO;;;;;;;;;;;0;1;fresh;
337;;Nicky;MA;4;4;5;CO;;;;;;;;;;;0;1;brown;
338;;Nicky;UM;6;5;5;CO;;;;;;;;;;;1;1;fresh;
339;;Nicky;AK;4;4;5;CO;;;;;;;;;;;3;0;fresh;
340;;Nicky;KA;4;4;2;CO;;;;;;;;;;;0;1;fresh;black larvae (1ish)
341;;Nicky;MU;4;5;4;CO;;;;;;;;;;;1;0;fresh;
342;;Nicky;MU;4;6;5;CO;;;;;;;;;;;3;0;fresh;
343;;Nicky;MA;7;6;5;CO;;;;;;;;;;;1;0;fresh;black larvae (10ish)
344;;Nicky;UM;6;4;1;CO;;;;;;;;;;;0;0;fresh;
345;;Nicky;MA;1;4;1;CO;;;;;;;;;;;0;22;brown;
346;;Nicky;KA;4;3;5;CO;;;;;;;;;;;1;0;fresh;
347;;Nicky;AK;3;3;4;CO;;;;;;;;;;;1;0;fresh;
348;;Nicky;MA;5;4;5;CO;;;;;;;;;;;1;0;fresh;
349;Nicky;Nicky;UM;4;1;2;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
350;Nicky;Nicky;KA;2;5;4;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
351;;Nicky;AK;4;6;2;CO;;;;;;;;;;;4;0;fresh;
352;;Nicky;MU;3;4;2;CO;;;;;;;;;;;5;0;fresh;
353;;Nicky;UM;4;2;4;CO;;;;;;;;;;;0;0;fresh;
354;;Nicky;MU;5;4;1;CO;;;;;;;;;;;0;0;fresh;
355;;Nicky;AK;3;1;5;CO;;;;;;;;;;;2;0;fresh;
356;;Nicky;MA;1;5;5;CO;;;;;;;;;;;3;0;fresh;
357;;Nicky;UM;5;5;2;CO;;;;;;;;;;;1;0;fresh;
358;;Nicky;KA;2;4;2;CO;;;;;;;;;;;1;13;brown;
359;;Nicky;KA;1;4;2;CO;;;;;;;;;;;0;8;fresh;
360;;Nicky;RE;4;5;2;CO;;;;;;;;;;;0;1;fresh;
361;;Nicky;MU;4;4;2;CO;;;;;;;;;;;2;0;fresh;
362;;Nicky;RE;4;3;5;GD;;;;;;;;;;;0;0;fresh;
363;;Nicky;KA;2;1;5;CO;;;;;;;;;;;0;1;fresh;
364;;Nicky;MU;4;5;1;GD;;;;;;;;;;;6;1;fresh;
365;;Nicky;KA;1;5;4;GD;;;;;;;;;;;2;0;fresh;
366;;Nicky;UM;6;6;4;GD;;;;;;;;;;;3;0;fresh;
367;;Nicky;MA;1;2;2;CO;;;;;;;;;;;0;0;fresh;
368;;Nicky;UM;5;6;3;GD;;;;;;;;;;;4;0;fresh;black larvae (10ish)
369;;Nicky;MA;5;1;1;GD;;;;;;;;;;;4;0;fresh;black larvae (5ish)
370;;Nicky;MU;3;5;1;GD;;;;;;;;;;;0;0;fresh;
371;;Nicky;MU;5;2;4;CO;;;;;;;;;;;1;0;fresh;black larvae (5ish)
372;Nicky;Nicky;MA;6;3;5;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;dead parent
373;Nicky;Nicky;KA;1;3;4;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;dead parent
374;;Nicky;RE;1;3;2;GD;;;;;;;;;;;7;0;fresh;
375;;Nicky;UM;1;1;4;CO;;;;;;;;;;;2;0;fresh;
376;;Nicky;KA;7;4;1;GD;;;;;;;;;;;0;40;brown;
377;;Nicky;RE;4;2;4;CO;;;;;;;;;;;0;1;fresh;
378;;Nicky;MU;6;4;5;CO;;;;;;;;;;;1;0;fresh;
379;;Nicky;KA;1;1;3;CO;;;;;;;;;;;0;0;fresh;
380;;Nicky;MA;7;1;4;GD;;;;;;;;;;;3;0;fresh;
381;;Nicky;MA;7;2;1;GD;;;;;;;;;;;5;0;fresh;
382;;Nicky;MA;1;1;2;GD;;;;;;;;;;;2;0;fresh;
383;;Nicky;AK;5;6;1;GD;;;;;;;;;;;2;0;fresh;
384;;Nicky;KA;7;4;1;CO;;;;;;;;;;;1;0;fresh;
385;;Nicky;MU;3;5;4;GD;;;;;;;;;;;8;1;fresh;
386;;Nicky;RE;6;2;2;GD;;;;;;;;;;;0;0;fresh;
387;;Nicky;RE;6;2;5;GD;;;;;;;;;;;0;0;fresh;
388;;Nicky;UM;6;3;1;GD;;;;;;;;;;;0;0;fresh;
389;;Nicky;MU;5;4;3;GD;;;;;;;;;;;0;0;fresh;
390;;Nicky;KA;1;5;5;GD;;;;;;;;;;;1;0;fresh;
391;;Nicky;UM;3;2;5;GD;;;;;;;;;;;1;1;fresh;
392;;Nicky;MU;4;4;4;GD;;;;;;;;;;;4;0;fresh;
393;Nicky;Nicky;KA;1;5;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
394;Nicky;Nicky;MA;7;2;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
395;;Nicky;MU;1;2;4;CO;;;;;;;;;;;2;0;fresh;
396;;Fleur;MU;4;4;1;CO;;;;;;;;;;;0;0;fresh;0
397;;Fleur;UM;4;6;3;CO;;;;;;;;;;;1;0;fresh;0
398;;Fleur;AK;5;6;2;CO;;;;;;;;;;;0;0;fresh;0
399;;Fleur;MA;5;3;2;CO;;;;;;;;;;;1;0;fresh;0
400;;Fleur;UM;3;5;4;CO;;;;;;;;;;;0;0;fresh;0
401;;Fleur;KA;2;4;5;CO;;;;;;;;;;;0;2;fresh;10
402;;Fleur;UM;3;6;4;CO;;;;;;;;;;;1;0;fresh;0
403;;Fleur;MU;4;6;1;CO;;;;;;;;;;;0;0;fresh;0
404;;Fleur;UM;1;6;1;CO;;;;;;;;;;;1;0;fresh;5
405;;Fleur;MA;1;4;4;CO;;;;;;;;;;;7;0;fresh;0
406;;Fleur;MU;5;5;4;CO;;;;;;;;;;;0;22;brown;0
407;;Fleur;RE;1;3;5;GD;;;;;;;;;;;6;0;fresh;0
408;;Fleur;UM;5;1;5;GD;;;;;;;;;;;0;0;fresh;0
409;;Fleur;UM;5;5;3;CO;;;;;;;;;;;21;3;fresh;0
410;;Fleur;AK;2;1;1;CO;;;;;;;;;;;1;0;fresh;0
411;;Fleur;AK;1;5;2;GD;;;;;;;;;;;1;0;fresh;0
412;;Fleur;RE;1;5;5;GD;;;;;;;;;;;8;0;fresh;0
413;;Fleur;AK;4;1;3;CO;;;;;;;;;;;0;0;fresh;0
414;;Fleur;KA;1;5;3;CO;;;;;;;;;;;2;0;fresh;0
415;;Fleur;MU;1;2;3;GD;;;;;;;;;;;1;0;fresh;1
416;;Fleur;KA;2;1;3;CO;;;;;;;;;;;5;1;fresh;10
417;;Fleur;AK;1;3;1;GD;;;;;;;;;;;1;0;fresh;0
418;;Fleur;MA;7;1;2;GD;;;;;;;;;;;2;0;fresh;20
419;;Fleur;MU;1;5;7;CO;;;;;;;;;;;1;1;fresh;0
420;;Fleur;RE;6;3;1;CO;;;;;;;;;;;0;0;fresh;30
421;;Fleur;AK;5;4;4;GD;;;;;;;;;;;2;0;fresh;0
422;;Fleur;RE;1;3;4;GD;;;;;;;;;;;9;0;fresh;0
423;;Fleur;KA;4;4;3;GD;;;;;;;;;;;1;0;fresh;20
424;Fleur;Fleur;UM;4;5;1;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;dead parent
425;;Fleur;MA;6;1;3;GD;;;;;;;;;;;0;10;fresh;30
426;;Fleur;UM;6;1;2;CO;;;;;;;;;;;1;0;fresh;20
427;;Fleur;UM;6;6;5;GD;;;;;;;;;;;0;1;fresh;0
428;;Fleur;UM;6;6;2;GD;;;;;;;;;;;0;0;fresh;0
429;;Fleur;MA;5;3;1;GD;;;;;;;;;;;0;1;fresh;0
430;;Fleur;AK;3;3;1;CO;;;;;;;;;;;1;0;fresh;0
431;;Fleur;MU;1;3;3;GD;;;;;;;;;;;0;0;fresh;0
432;;Fleur;AK;5;2;1;CO;;;;;;;;;;;2;0;fresh;0
433;;Fleur;RE;2;4;5;GD;;;;;;;;;;;1;0;fresh;0
434;;Fleur;UM;3;2;4;GD;;;;;;;;;;;3;1;fresh;0
435;;Fleur;MA;6;1;4;GD;;;;;;;;;;;2;0;fresh;0
436;;Fleur;AK;1;3;3;GD;;;;;;;;;;;1;0;fresh;0
437;;Fleur;MU;4;2;3;GD;;;;;;;;;;;3;0;fresh;0
438;;Fleur;AK;1;3;2;GD;;;;;;;;;;;2;0;fresh;0
439;;Fleur;MU;1;5;1;GD;;;;;;;;;;;4;0;fresh;0
440;;Fleur;KA;2;5;2;GD;;;;;;;;;;;1;0;fresh;0
441;;Fleur;MA;5;1;5;GD;;;;;;;;;;;0;0;fresh;0
442;;Fleur;MA;7;1;1;GD;;;;;;;;;;;4;0;fresh;0
443;;Fleur;RE;3;1;3;CO;;;;;;;;;;;0;1;fresh;1
444;;Fleur;UM;5;3;1;GD;;;;;;;;;;;0;0;fresh;20
445;;Fleur;RE;4;1;2;GD;;;;;;;;;;;3;0;fresh;0
446;;Fleur;KA;7;3;5;GD;;;;;;;;;;;1;1;fresh;0
447;;Fleur;UM;4;6;4;GD;;;;;;;;;;;0;0;fresh;0
448;;Fleur;AK;5;2;3;GD;;;;;;;;;;;5;0;fresh;0
449;;Fleur;RE;1;4;3;GD;;;;;;;;;;;0;2;fresh;0
450;;Fleur;KA;1;1;3;GD;;;;;;;;;;;3;0;fresh;0
451;Fleur;Fleur;AK;3;6;4;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;dead parent
452;;Fleur;KA;2;4;5;GD;;;;;;;;;;;1;0;fresh;0
453;Fleur;Fleur;KA;3;2;5;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;dead parent
454;;Fleur;MA;4;6;1;GD;;;;;;;;;;;1;1;fresh;5
455;;Fleur;MA;6;6;3;GD;;;;;;;;;;;3;0;fresh;0
456;;Fleur;AK;3;1;3;CO;;;;;;;;;;;0;1;fresh;0
457;;Fleur;RE;6;6;4;GD;;;;;;;;;;;0;0;fresh;0
458;;Fleur;MA;4;6;2;GD;;;;;;;;;;;0;2;fresh;0
459;;Fleur;MA;6;1;3;CO;;;;;;;;;;;1;0;fresh;0
460;;Fleur;UM;4;2;3;CO;;;;;;;;;;;0;0;fresh;0
461;;Fleur;UM;3;2;5;CO;;;;;;;;;;;2;0;fresh;0
462;;Fleur;RE;6;3;2;CO;;;;;;;;;;;4;0;fresh;0
463;;Fleur;RE;3;3;2;CO;;;;;;;;;;;0;0;fresh;0
464;;Fleur;RE;2;1;3;GD;;;;;;;;;;;4;0;fresh;0
465;;Fleur;UM;4;4;3;GD;;;;;;;;;;;0;1;fresh;0
466;;Fleur;MA;5;1;3;GD;;;;;;;;;;;4;0;fresh;0
467;;Fleur;MA;4;1;4;GD;;;;;;;;;;;0;0;fresh;0
468;Fleur;Fleur;AK;1;6;5;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;dead parent
469;;Fleur;KA;1;5;3;GD;;;;;;;;;;;1;0;fresh;5
470;;Fleur;MA;7;6;2;GD;;;;;;;;;;;0;1;fresh;0
471;;Fleur;MA;1;2;5;CO;;;;;;;;;;;2;0;fresh;0
472;;Fleur;MU;3;1;5;CO;;;;;;;;;;;0;0;fresh;0
473;;Fleur;KA;2;1;1;CO;;;;;;;;;;;4;0;fresh;0
474;;Fleur;UM;1;2;1;GD;;;;;;;;;;;8;1;fresh;1
475;;Fleur;AK;1;4;3;GD;;;;;;;;;;;1;0;fresh;5
476;Fleur;Fleur;UM;1;1;5;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;dead parent
477;;Fleur;MA;6;5;4;CO;;;;;;;;;;;4;0;fresh;0
478;;Fleur;MU;4;5;2;GD;;;;;;;;;;;5;0;fresh;0
479;;Fleur;KA;4;4;2;GD;;;;;;;;;;;0;0;fresh;0
480;;Fleur;RE;6;1;2;CO;;;;;;;;;;;0;0;fresh;0
481;;Fleur;KA;3;1;4;CO;;;;;;;;;;;0;0;fresh;0
482;;Fleur;KA;1;5;1;GD;;;;;;;;;;;3;0;fresh;0
483;;Fleur;RE;3;3;3;CO;;;;;;;;;;;2;0;fresh;0
484;;Fleur;UM;3;5;4;GD;;;;;;;;;;;1;1;fresh;0
485;;Fleur;KA;3;2;3;GD;;;;;;;;;;;0;0;fresh;0
486;;Fleur;KA;3;1;5;GD;;;;;;;;;;;6;0;fresh;0
487;;Fleur;MA;6;6;1;GD;;;;;;;;;;;0;0;fresh;0
488;;Fleur;KA;4;1;4;GD;;;;;;;;;;;4;0;fresh;0
489;;Fleur;RE;2;1;1;GD;;;;;;;;;;;5;0;fresh;0
490;;Fleur;RE;6;1;3;CO;;;;;;;;;;;4;0;fresh;0
491;;Fleur;UM;3;2;1;GD;;;;;;;;;;;1;0;fresh;0
492;;Fleur;MA;4;3;3;GD;;;;;;;;;;;1;0;fresh;0
493;;Fleur;MA;4;3;1;GD;;;;;;;;;;;1;0;fresh;0
494;;Fleur;RE;1;3;3;GD;;;;;;;;;;;1;0;fresh;0
495;;Fleur;MU;1;5;5;GD;;;;;;;;;;;1;1;fresh;0
496;;Fleur;RE;6;1;5;CO;;;;;;;;;;;0;0;fresh;0
497;;Fleur;RE;2;1;4;GD;;;;;;;;;;;0;0;fresh;0
498;;Fleur;MA;5;3;4;GD;;;;;;;;;;;0;0;fresh;0
499;;Fleur;AK;3;5;4;GD;;;;;;;;;;;0;0;fresh;0
500;;Fleur;AK;2;5;3;GD;;;;;;;;;;;0;0;fresh;0
501;;Fleur;UM;5;5;1;CO;;;;;;;;;;;0;0;fresh;0
502;;Fleur;MU;5;2;2;CO;;;;;;;;;;;1;0;fresh;0
503;;Fleur;MU;6;2;1;GD;;;;;;;;;;;5;0;fresh;0
504;;Fleur;MA;1;1;2;CO;;;;;;;;;;;1;1;fresh;5
505;;Fleur;MA;4;1;5;GD;;;;;;;;;;;7;0;fresh;0
506;Fleur;Fleur;MA;7;3;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;dead parent
507;;Fleur;AK;4;1;5;CO;;;;;;;;;;;0;0;fresh;0
508;;Fleur;MU;4;5;4;GD;;;;;;;;;;;4;0;fresh;0
509;;Fleur;MU;5;3;1;GD;;;;;;;;;;;0;0;fresh;0
510;;Fleur;KA;3;4;3;GD;;;;;;;;;;;0;0;fresh;0
